ID_Transaccion,Fecha,Hora,ID_Cliente,Tipo_Cliente,Rubro,Region_Origen,Region_Destino,Tipo_Servicio,Peso_Kg,Monto_Servicio,ID_Sucursal,Estado_Envio,Fecha_Entrega_Real,Dias_Transito
ENV-1065,11/10/2024,13:42:15,C-3927,Particular,N/A,Valparaíso,La Araucanía,Express,2.96,23880.0,S-01,En tránsito,,
ENV-1066,24/11/2024,09:34:59,C-2412,Particular,N/A,Metropolitana,Valparaíso,Express,5.09,30270.0,S-01,Entregado,25/11/2024,1
ENV-1067,21/02/2024,16:10:11,C-93,Particular,N/A,Metropolitana,Antofagasta,Económico,1.11,9776.0,S-05,Entregado,27/02/2024,6
ENV-1068,05/04/2024,14:37:01,C-4976,Particular,N/A,Antofagasta,Antofagasta,Paquetería,4.25,22200.0,S-04,Entregado,10/04/2024,5
ENV-1069,18/11/2024,16:13:27,C-2049,Particular,N/A,La Araucanía,La Araucanía,Express,2.76,23280.0,S-05,En tránsito,,
ENV-1070,05/01/2025,11:02:59,C-4459,Particular,N/A,Biobío,Valparaíso,Paquetería,5.86,26064.0,S-03,En tránsito,,
ENV-1071,16/03/2025,13:12:44,C-975,Corporativo,Salud,La Araucanía,Antofagasta,Express,1.8,20400.0,S-02,En tránsito,,
ENV-1072,31/05/2024,16:44:39,C-4892,Corporativo,Tecnología,Metropolitana,Antofagasta,Económico,9.63,23408.0,S-02,En tránsito,,
ENV-1073,02/03/2024,14:34:04,C-748,Particular,N/A,Metropolitana,Metropolitana,Express,5.49,31470.0,S-01,Entregado,03/03/2024,1
ENV-1074,15/01/2025,11:25:49,C-4375,Corporativo,Banca,Antofagasta,Biobío,Express,7.05,36150.0,S-01,En tránsito,,
ENV-1075,19/06/2024,15:07:36,C-4580,Corporativo,Salud,Valparaíso,Antofagasta,Económico,9.33,22928.0,S-05,Entregado,22/06/2024,3
ENV-1076,04/01/2025,14:24:05,C-2993,Particular,N/A,Valparaíso,Metropolitana,Económico,3.52,13632.0,S-04,En tránsito,,
ENV-1077,30/12/2024,16:06:41,C-275,Corporativo,Retail,Metropolitana,Metropolitana,Certificado,5.21,20420.0,S-02,Entregado,03/01/2025,4
ENV-1078,13/09/2024,15:02:33,C-1911,Particular,N/A,Valparaíso,Valparaíso,Paquetería,7.89,30936.0,S-01,Entregado,19/09/2024,6
ENV-1079,04/08/2024,11:00:01,C-4417,Particular,N/A,Biobío,La Araucanía,Express,0.79,17370.0,S-02,Entregado,06/08/2024,2
ENV-1080,16/09/2024,12:29:17,C-4592,Particular,N/A,Antofagasta,Valparaíso,Económico,7.56,20096.0,S-04,Demorado,,
ENV-1081,28/02/2025,19:26:10,C-1242,Particular,N/A,Valparaíso,Valparaíso,Express,1.26,18780.0,S-04,Entregado,04/03/2025,4
ENV-1082,09/12/2024,17:08:35,C-179,Particular,N/A,Biobío,Valparaíso,Paquetería,3.95,21480.0,S-05,Reclamado,,
ENV-1083,07/04/2024,15:20:49,C-3121,Corporativo,Retail,La Araucanía,Antofagasta,Express,7.0,36000.0,S-02,Entregado,14/04/2024,7
ENV-1084,04/06/2024,16:40:28,C-344,Corporativo,Banca,Antofagasta,Antofagasta,Paquetería,0.69,13656.0,S-03,En tránsito,,
ENV-1085,25/05/2024,20:51:26,C-1086,Particular,N/A,Valparaíso,La Araucanía,Certificado,6.68,23360.0,S-05,Entregado,28/05/2024,3
ENV-1086,27/10/2024,13:44:25,C-2732,Particular,N/A,Valparaíso,Antofagasta,Paquetería,9.72,35328.0,S-02,En tránsito,,
ENV-1087,27/03/2025,19:24:51,C-3139,Particular,N/A,Valparaíso,Metropolitana,Paquetería,2.57,18168.0,S-05,Entregado,30/03/2025,3
ENV-1088,12/09/2024,11:31:52,C-4548,Particular,N/A,Valparaíso,Antofagasta,Express,2.67,23010.0,S-02,Entregado,15/09/2024,3
ENV-1089,09/03/2025,11:59:09,C-595,Particular,N/A,La Araucanía,Metropolitana,Económico,0.96,9536.0,S-02,Entregado,12/03/2025,3
ENV-1090,15/09/2024,11:17:54,C-4934,Corporativo,Banca,Valparaíso,Antofagasta,Económico,1.02,9632.0,S-02,Entregado,18/09/2024,3
ENV-1091,20/07/2024,10:46:39,C-3690,Particular,N/A,Metropolitana,Metropolitana,Express,3.21,24630.0,S-02,Demorado,,
ENV-1092,28/10/2024,09:46:23,C-2524,Particular,N/A,Biobío,La Araucanía,Express,8.34,40020.0,S-01,Entregado,30/10/2024,2
ENV-1093,12/03/2025,13:59:09,C-2686,Particular,N/A,Antofagasta,Valparaíso,Económico,5.17,16272.0,S-01,Entregado,17/03/2025,5
ENV-1094,18/01/2024,12:16:16,C-1695,Particular,N/A,Antofagasta,Valparaíso,Express,3.92,26760.0,S-04,En tránsito,,
ENV-1095,02/09/2024,13:24:17,C-3498,Corporativo,Banca,Metropolitana,Antofagasta,Paquetería,1.91,16584.0,S-03,En tránsito,,
ENV-1096,04/05/2024,13:00:09,C-3965,Particular,N/A,Biobío,Antofagasta,Express,9.76,44280.0,S-01,Entregado,09/05/2024,5
ENV-1097,15/01/2025,10:16:14,C-525,Particular,N/A,Valparaíso,Biobío,Económico,7.44,19904.0,S-03,En tránsito,,
ENV-1098,12/02/2025,11:04:51,C-3119,Corporativo,Retail,Biobío,La Araucanía,Certificado,3.47,16940.0,S-02,En tránsito,,
ENV-1099,25/07/2024,17:34:39,C-2066,Particular,N/A,Metropolitana,Antofagasta,Express,9.23,42690.0,S-02,Entregado,27/07/2024,2
ENV-1100,31/07/2024,11:34:27,C-38,Corporativo,Banca,Biobío,Valparaíso,Express,5.9,32700.0,S-03,En tránsito,,
ENV-1101,06/12/2024,19:55:15,C-863,Particular,N/A,Metropolitana,Valparaíso,Económico,2.73,12368.0,S-03,Reclamado,,
ENV-1102,29/03/2024,17:08:35,C-2475,Particular,N/A,Valparaíso,Valparaíso,Certificado,4.87,19740.0,S-03,En tránsito,,
ENV-1103,06/07/2024,13:45:12,C-1803,Corporativo,Salud,Metropolitana,Metropolitana,Paquetería,4.4,22560.0,S-03,Entregado,13/07/2024,7
ENV-1104,07/10/2024,09:40:59,C-4645,Particular,N/A,La Araucanía,Valparaíso,Económico,3.09,12944.0,S-03,En tránsito,,
ENV-1105,27/03/2025,09:09:50,C-4736,Particular,N/A,Valparaíso,Metropolitana,Paquetería,6.6,27840.0,S-04,Demorado,,
ENV-1106,25/12/2024,18:03:01,C-3097,Corporativo,Tecnología,Biobío,Antofagasta,Económico,7.94,20704.0,S-02,Entregado,30/12/2024,5
ENV-1107,01/02/2025,15:24:26,C-108,Particular,N/A,Metropolitana,Biobío,Express,3.6,25800.0,S-04,Demorado,,
ENV-1108,11/12/2024,18:08:37,C-3207,Particular,N/A,La Araucanía,Biobío,Certificado,4.43,18860.0,S-04,Entregado,16/12/2024,5
ENV-1109,12/01/2025,14:43:34,C-620,Particular,N/A,La Araucanía,Valparaíso,Express,9.63,43890.0,S-04,Entregado,17/01/2025,5
ENV-1110,10/07/2024,16:04:59,C-4815,Corporativo,Salud,Antofagasta,La Araucanía,Express,2.67,23010.0,S-02,Entregado,11/07/2024,1
ENV-1111,14/02/2024,11:54:24,C-738,Corporativo,Salud,Metropolitana,La Araucanía,Certificado,7.22,24440.0,S-03,Reclamado,,
ENV-1112,12/08/2024,10:18:12,C-1995,Particular,N/A,Antofagasta,La Araucanía,Económico,8.53,21648.0,S-04,Entregado,17/08/2024,5
ENV-1113,05/12/2024,18:46:25,C-513,Particular,N/A,Valparaíso,Biobío,Certificado,7.44,24880.0,S-03,Entregado,07/12/2024,2
ENV-1114,17/09/2024,13:47:53,C-3434,Corporativo,E-commerce,Valparaíso,La Araucanía,Express,2.24,21720.0,S-02,Entregado,20/09/2024,3
ENV-1115,25/02/2024,11:19:45,C-4317,Particular,N/A,La Araucanía,Antofagasta,Económico,4.41,15056.0,S-03,Reclamado,,
ENV-1116,02/02/2025,10:31:34,C-3661,Particular,N/A,Biobío,Antofagasta,Express,6.13,33390.0,S-02,Reclamado,,
ENV-1117,24/03/2024,11:32:52,C-4532,Particular,N/A,Metropolitana,Valparaíso,Económico,5.96,17536.0,S-04,Entregado,25/03/2024,1
ENV-1118,23/09/2024,12:13:45,C-2549,Particular,N/A,Metropolitana,Valparaíso,Económico,9.52,23232.0,S-01,Entregado,25/09/2024,2
ENV-1119,06/03/2025,15:01:18,C-4133,Corporativo,Banca,Valparaíso,Antofagasta,Certificado,3.65,17300.0,S-03,En tránsito,,
ENV-1120,20/07/2024,16:39:37,C-267,Corporativo,Tecnología,Valparaíso,Metropolitana,Express,5.36,31080.0,S-04,Entregado,21/07/2024,1
ENV-1121,08/07/2024,09:39:23,C-1178,Corporativo,Banca,Metropolitana,Metropolitana,Económico,4.04,14464.0,S-02,Reclamado,,
ENV-1122,07/09/2024,15:16:39,C-4047,Corporativo,Salud,Biobío,Biobío,Certificado,6.19,22380.0,S-01,Entregado,13/09/2024,6
ENV-1123,10/01/2025,08:03:53,C-3975,Corporativo,Retail,Biobío,Valparaíso,Económico,4.7,15520.0,S-01,En tránsito,,
ENV-1124,16/01/2024,20:20:10,C-3012,Particular,N/A,Biobío,Metropolitana,Económico,9.56,23296.0,S-01,En tránsito,,
ENV-1125,28/08/2024,20:08:59,C-1229,Particular,N/A,Metropolitana,Antofagasta,Paquetería,7.11,29064.0,S-04,En tránsito,,
ENV-1126,23/01/2024,18:52:06,C-4487,Particular,N/A,La Araucanía,Antofagasta,Certificado,5.04,20080.0,S-03,En tránsito,,
ENV-1127,06/06/2024,09:54:27,C-955,Particular,N/A,Biobío,Antofagasta,Económico,4.98,15968.0,S-04,Demorado,,
ENV-1128,26/12/2024,18:37:15,C-1691,Corporativo,Salud,Biobío,La Araucanía,Económico,2.56,12096.0,S-02,En tránsito,,
ENV-1129,10/03/2025,19:13:32,C-2194,Corporativo,Tecnología,La Araucanía,Antofagasta,Certificado,2.23,14460.0,S-04,Entregado,16/03/2025,6
ENV-1130,10/11/2024,13:07:58,C-4441,Particular,N/A,Biobío,La Araucanía,Express,3.9,26700.0,S-03,En tránsito,,
ENV-1131,30/10/2024,19:13:52,C-116,Particular,N/A,Biobío,La Araucanía,Certificado,2.77,15540.0,S-03,Entregado,01/11/2024,2
ENV-1132,23/10/2024,14:42:59,C-4071,Particular,N/A,Valparaíso,Antofagasta,Express,3.05,24150.0,S-01,Demorado,,
ENV-1133,20/07/2024,13:52:45,C-4827,Corporativo,E-commerce,La Araucanía,La Araucanía,Express,2.23,21690.0,S-02,Entregado,25/07/2024,5
ENV-1134,27/11/2024,17:16:46,C-3710,Particular,N/A,Antofagasta,Antofagasta,Certificado,4.36,18720.0,S-01,Entregado,04/12/2024,7
ENV-1135,28/03/2024,08:45:07,C-1180,Corporativo,E-commerce,Antofagasta,Biobío,Express,2.45,22350.0,S-03,Demorado,,
ENV-1136,27/03/2024,20:12:48,C-1209,Particular,N/A,Biobío,La Araucanía,Certificado,4.35,18700.0,S-02,En tránsito,,
ENV-1137,14/09/2024,13:42:30,C-2591,Corporativo,Retail,Antofagasta,Antofagasta,Certificado,7.41,24820.0,S-01,En tránsito,,
ENV-1138,26/04/2024,16:39:14,C-3279,Particular,N/A,Biobío,Antofagasta,Económico,1.98,11168.0,S-05,Entregado,02/05/2024,6
ENV-1139,07/01/2024,11:40:10,C-3617,Particular,N/A,Antofagasta,Biobío,Económico,9.81,23696.0,S-01,Reclamado,,
ENV-1140,29/01/2025,18:42:58,C-2234,Particular,N/A,Metropolitana,Biobío,Certificado,2.58,15160.0,S-01,Reclamado,,
ENV-1141,12/04/2024,16:32:14,C-4962,Corporativo,Educación,Biobío,Valparaíso,Paquetería,1.01,14424.0,S-03,En tránsito,,
ENV-1142,03/10/2024,14:17:49,C-3757,Corporativo,Tecnología,Antofagasta,La Araucanía,Express,6.66,34980.0,S-02,Entregado,08/10/2024,5
ENV-1143,16/03/2025,14:25:17,C-4849,Corporativo,Salud,Metropolitana,Valparaíso,Certificado,1.33,12660.0,S-02,Entregado,23/03/2025,7
ENV-1144,07/10/2024,15:06:42,C-3034,Corporativo,Educación,Biobío,Metropolitana,Paquetería,4.64,23136.0,S-02,Demorado,,
ENV-1145,28/04/2024,16:08:11,C-3251,Corporativo,Tecnología,La Araucanía,Biobío,Económico,5.59,16944.0,S-04,En tránsito,,
ENV-1146,26/07/2024,16:01:29,C-4714,Corporativo,Educación,La Araucanía,Biobío,Económico,9.13,22608.0,S-05,En tránsito,,
ENV-1147,20/09/2024,20:02:31,C-688,Particular,N/A,La Araucanía,Antofagasta,Económico,8.42,21472.0,S-02,Entregado,27/09/2024,7
ENV-1148,25/06/2024,11:25:52,C-180,Particular,N/A,Biobío,Metropolitana,Paquetería,4.82,23568.0,S-02,Entregado,01/07/2024,6
ENV-1149,09/03/2025,15:52:59,C-1768,Corporativo,Tecnología,Valparaíso,Valparaíso,Express,8.82,41460.0,S-01,Entregado,15/03/2025,6
ENV-1150,22/10/2024,13:58:15,C-4499,Corporativo,Retail,Antofagasta,Valparaíso,Económico,8.15,21040.0,S-02,Entregado,28/10/2024,6
ENV-1151,29/06/2024,10:43:47,C-1826,Particular,N/A,Metropolitana,Biobío,Económico,2.03,11248.0,S-05,Entregado,05/07/2024,6
ENV-1152,23/08/2024,08:54:27,C-2020,Particular,N/A,La Araucanía,Valparaíso,Económico,6.76,18816.0,S-01,En tránsito,,
ENV-1153,17/05/2024,15:12:11,C-4994,Corporativo,Banca,Biobío,Valparaíso,Certificado,7.22,24440.0,S-03,Entregado,21/05/2024,4
ENV-1154,03/12/2024,17:32:12,C-2847,Corporativo,E-commerce,Antofagasta,La Araucanía,Certificado,6.56,23120.0,S-02,Entregado,09/12/2024,6
ENV-1155,07/10/2024,16:24:33,C-3550,Particular,N/A,La Araucanía,La Araucanía,Económico,4.12,14592.0,S-05,En tránsito,,
ENV-1156,07/11/2024,13:12:14,C-4561,Corporativo,E-commerce,Biobío,Biobío,Express,0.53,16590.0,S-03,Entregado,13/11/2024,6
ENV-1157,08/01/2025,13:42:56,C-788,Particular,N/A,La Araucanía,Valparaíso,Express,3.85,26550.0,S-01,En tránsito,,
ENV-1158,03/01/2024,17:48:49,C-680,Particular,N/A,La Araucanía,Valparaíso,Express,0.43,16290.0,S-03,Demorado,,
ENV-1159,15/07/2024,09:21:57,C-240,Particular,N/A,Antofagasta,Metropolitana,Económico,2.52,12032.0,S-03,Entregado,20/07/2024,5
ENV-1160,05/02/2025,08:29:02,C-1913,Corporativo,E-commerce,La Araucanía,Valparaíso,Económico,8.44,21504.0,S-03,En tránsito,,
ENV-1161,14/03/2025,17:11:57,C-2716,Particular,N/A,La Araucanía,Valparaíso,Certificado,4.8,19600.0,S-05,Entregado,15/03/2025,1
ENV-1162,24/02/2025,10:54:58,C-1967,Particular,N/A,La Araucanía,Metropolitana,Económico,2.04,11264.0,S-03,Entregado,01/03/2025,5
ENV-1163,29/03/2025,18:30:02,C-1645,Particular,N/A,Antofagasta,La Araucanía,Económico,9.34,22944.0,S-01,Entregado,03/04/2025,5
ENV-1164,14/01/2025,17:32:04,C-4334,Corporativo,Retail,Valparaíso,Valparaíso,Certificado,1.84,13680.0,S-01,En tránsito,,
ENV-1165,19/09/2024,17:25:05,C-1342,Corporativo,Banca,Antofagasta,Biobío,Express,7.13,36390.0,S-01,En tránsito,,
ENV-1166,18/02/2025,14:50:32,C-4498,Corporativo,Banca,La Araucanía,Biobío,Certificado,2.6,15200.0,S-01,Reclamado,,
ENV-1167,07/03/2024,17:41:19,C-689,Particular,N/A,Metropolitana,Biobío,Económico,1.34,10144.0,S-02,Entregado,14/03/2024,7
ENV-1168,22/09/2024,12:57:22,C-4179,Particular,N/A,Valparaíso,Biobío,Económico,4.29,14864.0,S-05,Entregado,24/09/2024,2
ENV-1169,02/02/2025,13:59:03,C-1323,Particular,N/A,Antofagasta,La Araucanía,Certificado,3.14,16280.0,S-04,Entregado,04/02/2025,2
ENV-1170,14/10/2024,16:58:55,C-504,Corporativo,Salud,Valparaíso,La Araucanía,Express,5.61,31830.0,S-03,Entregado,18/10/2024,4
ENV-1171,15/04/2024,15:01:27,C-2461,Particular,N/A,Biobío,La Araucanía,Express,0.16,15480.0,S-04,Entregado,19/04/2024,4
ENV-1172,06/08/2024,12:37:47,C-2053,Particular,N/A,Metropolitana,Antofagasta,Económico,4.08,14528.0,S-03,En tránsito,,
ENV-1173,29/01/2024,13:50:09,C-4805,Corporativo,E-commerce,Metropolitana,Valparaíso,Express,3.31,24930.0,S-01,Demorado,,
ENV-1174,03/09/2024,17:37:35,C-2735,Particular,N/A,La Araucanía,Metropolitana,Express,2.17,21510.0,S-04,Entregado,08/09/2024,5
ENV-1175,21/03/2025,12:04:55,C-2852,Particular,N/A,La Araucanía,Biobío,Económico,7.67,20272.0,S-02,Entregado,28/03/2025,7
ENV-1176,05/07/2024,17:50:50,C-3472,Particular,N/A,La Araucanía,La Araucanía,Paquetería,2.24,17376.0,S-01,Entregado,07/07/2024,2
ENV-1177,18/10/2024,20:23:26,C-3046,Corporativo,E-commerce,Antofagasta,Antofagasta,Paquetería,3.74,20976.0,S-03,En tránsito,,
ENV-1178,10/10/2024,14:33:50,C-1687,Corporativo,Tecnología,Biobío,Metropolitana,Económico,0.71,9136.0,S-03,Entregado,11/10/2024,1
ENV-1179,12/04/2024,08:36:37,C-13,Corporativo,Educación,Biobío,Antofagasta,Express,8.01,39030.0,S-03,Entregado,15/04/2024,3
ENV-1180,15/09/2024,10:36:33,C-4762,Particular,N/A,Antofagasta,La Araucanía,Paquetería,8.59,32616.0,S-05,Entregado,21/09/2024,6
